Date,Open,High,Low,Close,12-day ema,26-day ema,MACD,Volume
00-01-04,6000,6110,5660,6110,,,,74195000
00-01-05,5800,6060,5520,5580,,,,74680000
00-01-06,5750,5780,5580,5620,,,,54390000
00-01-07,5560,5670,5360,5540,,,,40305000
00-01-10,5600,5770,5580,5770,,,,46880000
00-01-11,5820,6100,5770,5770,,,,59745000
00-01-12,5610,5740,5600,5720,,,,29220000
00-01-13,5600,5740,5560,5710,,,,41190000
00-01-14,5720,5880,5680,5830,,,,49375000
00-01-17,6000,6180,5920,6100,,,,63505000
00-01-18,6160,6160,5980,6100,,,,45260000
00-01-19,6000,6040,5960,5960,5817.5,,,40205000
00-01-20,5860,6040,5820,6040,5851.730769,,,37315000
00-01-21,5950,5980,5880,5880,5856.079882,,,32535000
00-01-24,5800,5900,5700,5700,5832.067592,,,34355000
00-01-25,5520,5640,5440,5440,5771.749501,,,44250000
00-01-26,5500,5520,5410,5480,5726.864962,,,29285000
00-01-27,5480,5620,5430,5520,5695.039584,,,27900000
00-01-28,5640,5880,5540,5820,5714.264263,,,38315000
00-01-31,5640,5730,5560,5580,5693.608223,,,39630000
00-02-01,5600,5680,5260,5320,5636.130034,,,71470000
00-02-02,5220,5370,5110,5250,5576.725414,,,64105000
00-02-03,5250,5460,4970,5130,5507.998427,,,142765000
00-02-07,5140,5330,5040,5240,5417.561004,-48.06980057,5465.630805,64140000
00-02-08,5340,5480,5310,5430,5419.474696,405.9198992,5013.554796,58460000
00-02-09,5560,5720,5480,5720,5465.709358,392.4790961,5073.230262,51050000
00-02-10,5660,5880,5600,5760,5510.984841,396.475967,5114.508874,61845000
00-02-11,5960,5960,5680,5700,5540.064096,391.7240709,5148.340026,34660000
00-02-14,5600,5660,5340,5380,5515.438851,368.3858977,5147.052953,44140000
00-02-15,5380,5420,5140,5200,5466.909797,356.8478084,5110.061988,38315000
00-02-16,5180,5200,4780,5000,5395.07752,342.920539,5052.156981,73115000
00-02-17,4940,5100,4910,5080,5346.604056,349.9177933,4996.686262,65185000
00-02-18,5370,5630,5160,5300,5339.434201,365.6758393,4973.758362,108750000
00-02-21,5200,5260,5030,5070,5297.982785,347.4266448,4950.556141,26485000
00-02-22,5000,5240,5000,5120,5270.600818,352.5341327,4918.066686,24180000
00-02-23,5220,5260,5100,5140,5250.508385,353.6227305,4896.885654,27720000
00-02-24,5120,5240,5060,5070,5222.737864,348.3538071,4874.384057,26075000
00-02-25,5080,5150,4980,5120,5206.932039,352.4628126,4854.469226,27875000
00-02-28,5000,5050,4800,4800,5144.32711,328.4430315,4815.884078,30140000
00-02-29,4900,5140,4840,5120,5140.584478,353.9944107,4786.590067,51820000
00-03-02,5880,5880,5520,5880,5251.661076,408.4764079,4843.184668,117750000
00-03-03,6200,6250,5880,6000,5366.790141,413.0231823,4953.766959,140990000
00-03-06,6000,6050,5600,5640,5408.822427,386.0067638,5022.815663,39150000
00-03-07,5600,5640,5480,5620,5441.311284,386.6034683,5054.707816,30070000
00-03-08,5520,6000,5500,5920,5514.955702,408.7797902,5106.175912,32460000
00-03-09,5970,5980,5620,5620,5531.116363,384.8516971,5146.264666,55890000
00-03-10,5790,5800,5520,5540,5532.483077,380.7663937,5151.716683,28605000
00-03-13,5480,5490,5160,5180,5478.254911,354.4139811,5123.84093,32215000
00-03-14,5170,5380,5160,5210,5436.984925,358.663312,5078.321613,30060000
00-03-15,5200,5400,5120,5400,5431.294936,372.4105145,5058.884422,46105000
00-03-16,5480,5520,5360,5400,5426.480331,371.3530373,5055.127293,28795000
00-03-17,5540,5560,5400,5480,5434.714126,377.3603077,5057.353818,24080000
00-03-20,5600,5710,5530,5660,5469.373491,390.2315433,5079.141948,26365000
00-03-21,5700,5940,5610,5880,5532.5468,405.5377445,5127.009056,44925000
00-03-22,5960,6300,5880,6200,5635.231908,428.0640481,5207.16786,86975000
00-03-23,6480,6580,6200,6200,5722.119307,426.3312556,5295.788051,64950000
00-03-24,6320,7120,6180,6800,5887.947106,470.9089917,5417.038114,90260000
00-03-27,6960,7040,6700,6800,6028.262936,467.4799351,5560.783,67730000
00-03-28,6900,7260,6820,7030,6182.37633,484.7807457,5697.595584,74425000
00-03-29,7030,7680,6980,7660,6409.703049,530.1165808,5879.586468,78090000
00-03-30,7520,7560,7050,7050,6508.210272,481.4440237,6026.766248,74645000
00-03-31,6800,7070,6650,6700,6537.716384,459.2621406,6078.454243,63855000
00-04-03,6920,7320,6860,7100,6624.221556,490.598069,6133.623487,56805000
00-04-04,7000,7290,6660,6800,6651.264393,465.9653907,6185.299002,58340000
00-04-06,6860,6960,6680,6680,6675.047287,458.8255677,6216.22172,47235000
00-04-07,6860,7260,6780,7200,6755.809243,498.0390589,6257.770184,42355000
00-04-10,7500,7500,7200,7300,6839.530898,502.4300439,6337.100854,35885000
00-04-11,7200,7200,6950,7100,6879.603068,487.277461,6392.325607,29075000
00-04-12,6960,7030,6860,6910,6884.279519,474.3689702,6409.910549,35250000
00-04-14,6600,6680,6260,6260,6791.584744,427.1374013,6364.447343,62365000
00-04-17,5420,5750,5340,5520,6595.956322,376.0321657,6219.924156,78050000
00-04-18,6200,6240,5860,6040,6510.42458,418.4818562,6091.942724,73730000
00-04-19,6300,6460,5860,6000,6431.897722,412.2535324,6019.644189,60615000
00-04-20,5960,6160,5920,6020,6368.528841,414.2141157,5954.314726,37335000
00-04-21,6060,6180,5970,6050,6319.524404,416.2855239,5903.23888,26425000
00-04-24,5970,6030,5760,5800,6239.597573,397.6076663,5841.989907,27830000
00-04-25,5620,5760,5520,5640,6147.351792,387.1925727,5760.15922,34900000
00-04-26,5820,5860,5600,5600,6063.143824,385.0307708,5678.113054,39290000
00-04-27,5520,5700,5400,5400,5961.121698,370.3822484,5590.739449,54110000
00-04-28,5500,6100,5460,6000,5967.102975,415.9535023,5551.149473,75530000
00-05-02,6200,6530,6120,6280,6019.523432,433.4584143,5586.065017,72335000
00-05-03,6240,6260,6090,6180,6044.212135,424.4348228,5619.777312,26585000
00-05-04,6220,6360,6140,6180,6065.102575,425.1289453,5639.97363,26100000
00-05-08,6400,6700,6300,6560,6156.197702,453.2278066,5702.969895,52695000
00-05-10,6320,6390,6270,6350,6238.57942,435.6732743,5802.906145,27620000
00-05-12,6420,6440,6160,6160,6240.994732,422.6919085,5818.302824,47170000
00-05-15,6290,6530,6220,6440,6271.610927,444.5222748,5827.088653,47120000
00-05-16,6510,6800,6510,6800,6352.901554,469.5096826,5883.391871,39620000
00-05-17,7000,7340,6920,6920,6440.147469,476.4764632,5963.671006,76235000
00-05-18,6740,7000,6680,6800,6495.509397,467.0516681,6028.457729,36580000
00-05-19,6740,6900,6600,6900,6557.73872,475.1840597,6082.554661,41450000
00-05-22,6720,6830,6620,6670,6575.009686,457.5214541,6117.488232,36385000
00-05-23,6500,6700,6350,6380,6545.008196,437.3986346,6107.609562,41290000
00-05-24,6160,6370,5920,6200,6491.930012,425.6132104,6066.316802,72150000
00-05-25,6330,6380,5930,6000,6416.248472,411.7049667,6004.543505,85965000
00-05-26,5900,5990,5600,5600,6290.671784,383.145202,5907.526582,67100000
00-05-29,5260,5680,5240,5460,6162.876125,374.9717366,5787.904388,67130000
00-05-31,6000,6290,5960,6160,6070.934977,427.4039529,5643.531024,83935000
00-06-01,6200,6410,6120,6300,6106.17575,433.7894395,5672.38631,50230000
00-06-02,6690,6900,6510,6620,6185.225634,457.0019519,5728.223682,84385000
00-06-05,6920,6980,6680,6740,6270.575537,464.105263,5806.470274,48010000
00-06-07,6600,6980,6510,6800,6413.133964,468.0453303,5945.088634,53365000
00-06-08,6660,6960,6530,6530,6431.113354,447.7002168,5983.413138,58550000
00-06-09,6600,7040,6530,7020,6521.7113,485.5615218,6036.149778,63860000
00-06-12,7200,7280,7030,7190,6624.524946,495.2417063,6129.28324,49515000
00-06-13,7060,7100,6870,7060,6691.521108,484.8674471,6206.653661,42495000
00-06-14,7230,7640,7090,7640,6837.440938,528.62843,6308.812508,63020000
00-06-15,7560,7560,7000,7000,6862.450024,477.8547931,6384.595231,61225000
00-06-16,6900,6960,6710,6740,6843.611559,462.5011982,6381.110361,66455000
00-06-19,6600,6950,6550,6700,6821.517473,460.719281,6360.798192,53560000
00-06-20,6940,7180,6830,7140,6870.514785,493.4489442,6377.065841,59790000
00-06-21,7300,7380,7070,7080,6902.743279,486.4868334,6416.256446,37585000
00-06-22,7240,7270,6960,7040,6923.859698,484.0594174,6439.800281,33635000
00-06-23,6980,7010,6860,7000,6935.573591,481.2831787,6454.290412,29215000
00-06-26,7100,7360,6990,7210,6977.793038,497.0522911,6480.740747,39980000
00-06-27,7320,7440,7190,7310,7028.901802,503.2466899,6525.655112,45535000
00-06-28,7220,7540,7220,7520,7104.455371,518.3257532,6586.129617,47295000
00-06-29,7600,7740,7380,7490,7163.769929,514.943603,6648.826326,61120000
